,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
92293,20120308,TERADATA CORP DE,TDC,11072008.32,2.0,1.0,10.0,1.0,6.0,10,10.0,10.0,4.0,6.0,2.0,7.0,9.0,,5.0,2.0,10.0,6.0,2.0,4.0,4.0,1.0,10.0,9.0,1.0,5.0,,,5.0,7.0,2.0,5.0,7.0,8.0,3.0,,1.0,6.0,8.0,10.0,4.0,10.0,1.0,4.0,8.0,,1.0,,,,9.0,9,4.0,10,1
92294,20120308,URANIUM ENERGY CORP,UEC,286429.25,10.0,1.0,,1.0,,1,10.0,1.0,1.0,10.0,2.0,,,,1.0,,7.0,1.0,10.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,2.0,1.0,,2.0,1.0,,1.0,1.0,1.0,5.0,1.0,7.0,,2.0,,,,1.0,9,6.0,10,1
92295,20120308,WESTINGHOUSE SOLAR INC,WEST,8096.649,10.0,1.0,3.0,2.0,1.0,1,1.0,1.0,1.0,1.0,10.0,6.0,2.0,,1.0,,10.0,10.0,1.0,1.0,10.0,1.0,1.0,1.0,2.0,1.0,,,,8.0,,,7.0,1.0,10.0,,2.0,1.0,,1.0,1.0,1.0,10.0,1.0,3.0,,10.0,,,,1.0,9,2.0,10,1
92296,20120308,ATHENAHEALTH INC,ATHN,2655654.4,7.0,1.0,9.0,1.0,5.0,10,10.0,1.0,3.0,8.0,2.0,6.0,9.0,,2.0,1.0,10.0,3.0,1.0,2.0,2.0,1.0,7.0,5.0,1.0,8.0,,,5.0,7.0,2.0,5.0,1.0,10.0,1.0,,1.0,2.0,,6.0,2.0,7.0,1.0,2.0,8.0,,1.0,,,,9.0,9,1.0,10,1
92299,20120308,BEACON FEDERAL BANCORP INC,BFED,85760.0447,10.0,,,,,10,1.0,10.0,9.0,,,,,5.0,8.0,5.0,,,,,,10.0,3.0,3.0,5.0,,10.0,,6.0,3.0,,,10.0,7.0,2.0,,,9.0,,,,,9.0,9.0,10.0,,10.0,10.0,8.0,,3.0,9,10.0,10,1
92300,20120308,CHINACAST EDUCATION CORP,CAST,255366.27,10.0,7.0,2.0,7.0,3.0,10,1.0,1.0,8.0,10.0,1.0,1.0,9.0,,3.0,3.0,8.0,1.0,6.0,1.0,1.0,5.0,4.0,3.0,1.0,4.0,,,,3.0,,,3.0,5.0,7.0,,9.0,6.0,,,,,10.0,2.0,10.0,,9.0,,,,1.0,9,9.0,10,1
92302,20120308,CONSTANT CONTACT INC,CTCT,920351.25,8.0,1.0,10.0,1.0,7.0,10,10.0,1.0,3.0,9.0,2.0,7.0,10.0,,2.0,1.0,10.0,2.0,1.0,6.0,1.0,1.0,4.0,3.0,1.0,1.0,,,10.0,7.0,6.0,9.0,1.0,4.0,2.0,,1.0,2.0,,10.0,9.0,10.0,1.0,1.0,8.0,,1.0,,,,6.0,9,1.0,10,1
92303,20120308,FIRST FINANCIAL NORTHWEST INC,FFNW,137652.6,10.0,,,,,1,1.0,10.0,7.0,,,,,10.0,1.0,,,,,,,10.0,1.0,1.0,5.0,,10.0,,10.0,7.0,,,9.0,8.0,9.0,,,6.0,5.0,3.0,3.0,2.0,2.0,5.0,9.0,,3.0,,,,2.0,9,10.0,10,1
92308,20120308,LAPORTE BANCORP INC,LPSB,42415.1,10.0,,,,,1,1.0,10.0,7.0,,,,,,7.0,5.0,,,,,,10.0,3.0,3.0,4.0,,,,3.0,3.0,,,10.0,3.0,3.0,,,3.0,,,,,2.0,2.0,10.0,,4.0,,,,2.0,9,10.0,10,1
92310,20120308,M A P PHARMACEUTICALS INC,MAPP,524244.04,9.0,1.0,,1.0,,1,10.0,1.0,1.0,2.0,2.0,,,,1.0,,10.0,5.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,2.0,,,3.0,4.0,1.0,,1.0,4.0,6.0,,1.0,3.0,,,,,2.0,3.0,4.0,,1.0,,,,4.0,9,8.0,10,1
