,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
90496,20070904,BLUELINX HOLDINGS INC,BXC,254706.24,10.0,7.0,8.0,8.0,10.0,10,1.0,1.0,3.0,8.0,10.0,10.0,1.0,10.0,5.0,8.0,6.0,10.0,10.0,9.0,10.0,9.0,3.0,4.0,10.0,,,,1.0,4.0,3.0,6.0,4.0,2.0,9.0,,8.0,4.0,3.0,5.0,7.0,3.0,7.0,4.0,,,8.0,,,,1.0,9,9.0,10,10
90501,20070904,FOUNDATION COAL HOLDINGS INC,FCL,1583901.6,6.0,2.0,3.0,3.0,1.0,1,10.0,10.0,7.0,9.0,9.0,4.0,3.0,2.0,2.0,9.0,9.0,5.0,8.0,3.0,4.0,7.0,3.0,5.0,7.0,8.0,1.0,,6.0,6.0,3.0,1.0,5.0,3.0,8.0,,2.0,7.0,,1.0,2.0,1.0,7.0,4.0,,,6.0,,,,6.0,9,1.0,10,10
90502,20070904,GASCO ENERGY INC,GSX,189271.69,10.0,4.0,,6.0,,1,10.0,1.0,1.0,10.0,10.0,1.0,1.0,,1.0,,7.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,9.0,,,6.0,1.0,10.0,,5.0,1.0,3.0,1.0,1.0,1.0,10.0,1.0,,,10.0,,,,1.0,9,6.0,10,1
90503,20070904,INTERLINE BRANDS INC,IBI,788443.0,8.0,6.0,8.0,6.0,9.0,1,1.0,1.0,6.0,1.0,2.0,7.0,7.0,,4.0,3.0,1.0,5.0,4.0,8.0,2.0,6.0,4.0,4.0,8.0,7.0,,,6.0,4.0,6.0,9.0,5.0,2.0,8.0,,6.0,6.0,,6.0,7.0,6.0,3.0,3.0,,,3.0,,,,4.0,9,8.0,10,10
90504,20070904,K M G AMERICA CORP,KMA,80644.08,10.0,,,,,10,1.0,1.0,5.0,,,,,,3.0,2.0,,,,,,9.0,2.0,2.0,6.0,5.0,,,1.0,3.0,,,10.0,1.0,7.0,,,6.0,,2.0,2.0,2.0,10.0,2.0,,,10.0,,,,1.0,9,10.0,10,10
90505,20070904,LAS VEGAS SANDS CORP,LVS,36309991.44,1.0,1.0,2.0,1.0,1.0,1,1.0,1.0,6.0,9.0,1.0,1.0,8.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,9.0,1.0,2.0,,,2.0,6.0,1.0,1.0,7.0,7.0,1.0,,1.0,6.0,1.0,3.0,2.0,3.0,1.0,4.0,,,1.0,,,,10.0,9,5.0,10,10
90507,20070904,MACQUARIE INFRASTRUCTURE CO LLC,MIC,1688778.0,7.0,,1.0,,,1,1.0,1.0,,,,1.0,7.0,,,,,,10.0,,,,3.0,2.0,,,,,,4.0,,,7.0,,,,7.0,,,1.0,2.0,1.0,4.0,,,,3.0,3.0,2.0,,7.0,10,6.0,10,10
90515,20070904,SYMMETRY MEDICAL INC,SMA,570503.5,9.0,7.0,3.0,8.0,5.0,1,1.0,1.0,4.0,2.0,2.0,3.0,5.0,,5.0,5.0,1.0,3.0,5.0,10.0,9.0,4.0,7.0,4.0,4.0,3.0,,,7.0,6.0,8.0,6.0,3.0,5.0,10.0,,5.0,3.0,2.0,4.0,3.0,6.0,2.0,7.0,,,3.0,2.0,4.0,,2.0,9,7.0,10,10
90520,20070904,CELANESE CORP DEL,CE,5431025.55,3.0,3.0,4.0,1.0,1.0,10,1.0,1.0,7.0,4.0,6.0,5.0,4.0,10.0,10.0,10.0,9.0,6.0,8.0,5.0,5.0,8.0,6.0,10.0,8.0,5.0,,,10.0,8.0,7.0,5.0,7.0,10.0,7.0,,2.0,10.0,,1.0,1.0,1.0,8.0,3.0,,,8.0,,,,6.0,9,2.0,10,10
90531,20070904,P H H CORP,PHH,1482104.8,7.0,,,,,1,1.0,1.0,5.0,,,,,,1.0,10.0,,,,,,10.0,1.0,1.0,9.0,4.0,,,5.0,2.0,,,4.0,6.0,8.0,,,5.0,,2.0,2.0,2.0,9.0,8.0,,,9.0,10.0,7.0,,4.0,10,4.0,10,1
